VPTPA	T.id="400"
VPTPC	C.id="720270"
OAPVP	A.id="760214"
VPA	A.id="760214"
VPCPA	A.id="8004"
PVPC	V.id="1421"
VPAOA	O.id="1500"
VPT	T.id="4773"
VPAO	O.id="533"
CPVPT	T.id="4773"
CPTPA	C.id="643921"
TPAPT	A.id="891336"
PVPA	A.id="689496"
PAPVP	A.id="8004"
VPAPV	A.id="8004"
APVP	A.id="8004"
AOA	O.id="37"
AOAPC	O.id="1500"
AOA	O.id="37"
APAO	O.id="37"
OAPA	O.id="337"
TPAOA	O.id="1500"
OAP	A.id="760214"
PCPV	C.id="639945"
TPTPC	C.id="720270"
TPAO	T.id="248"
VPCPC	V.id="1241"
APC	A.id="8004"
AOAP	O.id="533"
AOAPC	O.id="37"
CPA	C.id="643921"
APAOA	O.id="500"
APTP	A.id="519372"
APV	A.id="760214"
AOAP	O.id="37"
VPCPA	C.id="720270"
APCPT	C.id="671598"
AOAPT	O.id="261"
CPT	C.id="643921"
TPCPT	C.id="644579"
TPAPT	A.id="760214"
VPCPA	A.id="760214"
TPCP	C.id="639945"
AOAPC	O.id="261"
CPVPV	C.id="639945"
PAOA	O.id="337"
TPA	A.id="760214"
OAO	A.id="891336"
TPAP	T.id="2644"
CPAO	C.id="671598"
APVP	A.id="760214"
PAPT	A.id="8004"
CPA	A.id="760214"
TPC	C.id="720270"
CPAOA	O.id="500"
OAPT	A.id="8004"
TPCPV	C.id="720270"
APCPT	A.id="760214"
TPAPC	A.id="689496"
TPAOA	O.id="261"
OAPV	O.id="1500"
APCPV	C.id="671625"
TPAO	O.id="37"
OAPA	O.id="36"
TPAPC	C.id="720270"
OAPT	A.id="597526"
APVP	A.id="760214"
CPTPC	T.id="248"
VPTP	V.id="10253"
AOAP	O.id="500"
CPVP	C.id="648909"
OAPC	A.id="760214"
CPCPA	A.id="760214"
VPCPA	C.id="671598"
TPC	T.id="1865"
APTPT	A.id="760214"
VPCPT	T.id="1865"
VPAOA	O.id="533"
VPCP	C.id="644579"
TPAO	T.id="248"
TPAPA	T.id="4773"
APTPV	A.id="760214"
APAO	O.id="337"
PCPT	C.id="644579"
OAPC	C.id="720270"
CPVP	C.id="643921"
VPAOA	O.id="1500"
OAPV	O.id="500"
CPT	T.id="400"
OAPCP	O.id="500"
APCPT	A.id="760214"
TPAO	A.id="760214"
APVPT	A.id="760214"
APTPC	C.id="644579"
TPA	T.id="4773"
PAPC	A.id="760214"
PAPCP	C.id="643921"
VPAO	O.id="1500"
PVPCP	C.id="671598"
VPAP	A.id="760214"
OAPCP	A.id="519372"
CPTPV	C.id="643921"
OAP	O.id="37"
APCPT	T.id="2430"
CPTP	T.id="400"
CPA	A.id="273922"
OAPTP	A.id="891336"
OAP	O.id="533"
TPCPA	A.id="273922"
APTPT	A.id="760214"
CPTPA	C.id="720270"
PCPT	C.id="639945"
APTPC	A.id="760214"
OAPV	O.id="500"
VPAPV	A.id="760214"
TPAP	A.id="760214"
PVPA	A.id="273922"
APTPV	A.id="760214"
APCPV	A.id="760214"
PCPA	A.id="8004"
CPTPA	C.id="671598"
TPAO	O.id="533"
OAPCP	C.id="643921"
TPAPV	A.id="760214"
APCP	A.id="8004"
PCPAO	O.id="500"
TPCPT	C.id="643921"
VPVPT	T.id="2430"
PAPVP	A.id="760214"
TPCPV	C.id="734922"
VPCPT	C.id="690974"
APVPC	A.id="760214"
OAPT	A.id="277343"
TPAPV	A.id="8004"
TPA	A.id="8004"
OAO	A.id="760214"
OAPT	A.id="760214"
APAO	O.id="261"
APVPC	A.id="891336"
APTPV	A.id="891336"
OAP	A.id="8004"
APVPC	V.id="1421"
VPVPT	T.id="1865"
CPAP	A.id="760214"
AOA	O.id="1500"
CPV	C.id="720270"
VPAPV	A.id="8004"
APT	A.id="8004"
APTPV	A.id="891336"
TPCPV	C.id="639945"
OAPC	A.id="760214"
TPTPC	C.id="690974"
APTPV	A.id="760214"
APAO	O.id="1500"
CPCPA	A.id="760214"
OAPT	O.id="261"
VPTPA	T.id="1865"
APCP	A.id="891336"
VPVPA	A.id="273922"
VPCP	V.id="3803"
PCPAO	A.id="760214"
APVPC	C.id="671598"
VPCP	C.id="639945"
PCPAP	C.id="643921"
AOAPT	O.id="337"
CPAO	A.id="760214"
PVPT	T.id="2430"
OAPAP	O.id="500"
TPAP	A.id="760214"
APVPT	A.id="689496"
APAO	O.id="37"
APTPT	A.id="760214"
APTPC	A.id="760214"
PAPC	A.id="760214"
TPC	T.id="248"
PAPAO	O.id="37"
OAPVP	O.id="1500"
VPA	A.id="760214"
PTPV	T.id="4773"
PAPC	A.id="760214"
APTP	T.id="248"
CPTPV	C.id="671598"
VPT	T.id="2430"
APTPT	A.id="8004"
CPV	V.id="10253"
TPAOA	O.id="1500"
TPAP	T.id="1865"
VPAPV	A.id="760214"
CPAO	O.id="500"
OAPVP	O.id="500"
PAPT	A.id="760214"
CPAPV	A.id="891336"
PCPT	C.id="720270"
VPT	T.id="400"
OAPCP	C.id="734922"
CPAO	A.id="8004"
TPAO	A.id="273922"
VPAO	O.id="37"
OAPT	A.id="8004"
CPV	C.id="644579"
TPAO	A.id="760214"
PCPAO	O.id="37"
OAP	A.id="760214"
AOAPA	O.id="500"
PAOA	O.id="261"
PAPCP	A.id="273922"
PTPC	C.id="720270"
CPVPC	V.id="1241"
TPVPV	T.id="4773"
VPCP	C.id="720270"
PAO	O.id="533"
TPAPC	A.id="891336"
VPTPA	V.id="1241"
TPAPT	A.id="8004"
TPAP	A.id="891336"
VPCPA	A.id="760214"
PAPC	A.id="760214"
APTP	A.id="8004"
OAPCP	O.id="37"
CPCPA	A.id="597526"
VPT	V.id="10080"
VPAP	V.id="10253"
OAPT	A.id="760214"
APTPC	A.id="760214"
PVPCP	C.id="671598"
PAPCP	A.id="689496"
APTP	A.id="891336"
CPV	C.id="690974"
APTPT	A.id="689496"
OAPTP	A.id="8004"
TPAPA	T.id="1865"
TPAPC	C.id="640772"
VPAO	O.id="1500"
OAPCP	A.id="760214"
PTPC	C.id="643921"
AOAPA	O.id="500"
PVPAO	A.id="960979"
TPAO	T.id="248"
PAP	A.id="760214"
CPCPT	T.id="1865"
PVPA	A.id="760214"
PVPA	A.id="960979"
CPAPC	A.id="597526"
OAP	O.id="37"
PCP	C.id="720270"
APAO	O.id="1500"
OAO	A.id="760214"
TPVPT	V.id="3803"
OAPVP	O.id="500"
OAPT	O.id="261"
AOAPA	O.id="37"
OAPA	O.id="500"
OAPCP	A.id="760214"
APTPT	A.id="8004"
PVPAO	O.id="337"
VPCPA	C.id="644579"
OAPC	A.id="760214"
OAPV	A.id="760214"
OAPC	C.id="643921"
OAPTP	A.id="760214"
APCPT	A.id="760214"
CPT	T.id="4773"
PCPA	A.id="273922"
APAOA	O.id="533"
OAPV	A.id="273922"
TPCPA	A.id="760214"
OAO	A.id="760214"
TPCPA	A.id="760214"
VPVPA	A.id="8004"
PTPA	T.id="2644"
TPAPV	V.id="1241"
CPAP	A.id="8004"
OAPTP	O.id="37"
APTPV	A.id="8004"
VPVPA	A.id="760214"
OAPA	O.id="36"
APTPV	T.id="2595"
TPC	C.id="644579"
PAPT	A.id="8004"
VPAP	A.id="760214"
CPAP	A.id="760214"
OAP	A.id="8004"
TPAPV	A.id="8004"
AOAPV	V.id="79"
TPAOA	O.id="337"
VPAPV	A.id="760214"
CPAPC	A.id="760214"
TPAOA	O.id="500"
OAPT	O.id="37"
TPVPC	C.id="734922"
CPVPA	A.id="891336"
TPVP	T.id="1865"
CPAOA	O.id="37"
APVPT	A.id="760214"
AOAPT	O.id="37"
TPCP	T.id="400"
APTP	A.id="273922"
TPCP	C.id="643921"
PTP	T.id="4773"
VPAO	O.id="337"
VPAP	A.id="760214"
VPAPC	A.id="760214"
APVP	A.id="273922"
AOA	O.id="1500"
VPAPV	A.id="760214"
VPC	C.id="720270"
APAO	O.id="1500"
TPCP	T.id="248"
TPA	A.id="689496"
PCPAO	A.id="8004"
VPCPV	C.id="644579"
TPCPA	C.id="720270"
APTPC	T.id="248"
TPAPC	T.id="3376"
CPVPA	V.id="3803"
PCPAP	A.id="8004"
AOAPT	O.id="1500"
OAPA	O.id="337"
VPTP	T.id="2595"
OAO	A.id="960979"
APVPT	A.id="8004"
OAPVP	A.id="277343"
PAP	A.id="960979"
PVPA	V.id="10253"
APCPT	C.id="643921"
CPAPC	A.id="760214"
VPCPT	T.id="2430"
PAPT	A.id="760214"
PAPCP	A.id="760214"
CPTP	C.id="692058"
TPCPC	T.id="400"
PAPAO	O.id="37"
VPAPV	A.id="689496"
APVP	A.id="760214"
TPAP	A.id="8004"
APT	A.id="760214"
PVPAO	A.id="891336"
TPA	T.id="1865"
CPAPV	C.id="643921"
PVPA	A.id="760214"
VPAO	O.id="1500"
APCPA	C.id="643921"
OAPCP	C.id="720270"
VPCPA	A.id="689496"
OAPA	O.id="261"
TPV	T.id="400"
PAPCP	A.id="760214"
CPAOA	O.id="1500"
AOAPA	O.id="1500"
OAPVP	A.id="760214"
APTPV	A.id="760214"
CPAPV	A.id="760214"
CPA	A.id="760214"
VPAPC	A.id="105467"
PVPT	T.id="248"
TPAPV	A.id="689496"
AOAP	O.id="1500"
PAO	A.id="8004"
PCPV	C.id="720270"
APVP	A.id="960979"
PCPA	A.id="760214"
TPAO	O.id="337"
TPC	C.id="734922"
VPCPV	C.id="720270"
TPAPV	A.id="760214"
CPCPA	A.id="760214"
VPAPC	C.id="644579"
TPCPA	C.id="720270"
VPVPA	A.id="760214"
PAPAO	O.id="337"
OAPTP	A.id="760214"
CPAPC	A.id="8004"
APCPT	A.id="760214"
TPAO	A.id="760214"
TPAPC	T.id="248"
OAPV	O.id="37"
PVPAO	O.id="1500"
TPVPC	C.id="643921"
PAPC	A.id="760214"
APTPC	A.id="760214"
APAOA	O.id="1500"
CPAPC	A.id="760214"
OAP	A.id="760214"
VPCPA	V.id="10253"
APCPV	A.id="8004"
VPVPT	T.id="2644"
CPTPV	C.id="643921"
APVPT	A.id="277343"
PTPAO	O.id="36"
OAPTP	A.id="273922"
CPAPC	A.id="760214"
VPAO	A.id="760214"
PAP	A.id="273922"
PCPAP	C.id="720270"
OAPTP	A.id="760214"
TPAOA	T.id="2595"
APV	A.id="760214"
CPAO	A.id="273922"
OAPC	A.id="8004"
PVPT	T.id="2430"
VPAOA	O.id="37"
TPAO	A.id="760214"
VPT	V.id="79"
PCPT	T.id="400"
OAPA	O.id="500"
VPAOA	O.id="1500"
VPCPT	C.id="720270"
CPVPA	A.id="760214"
PTPAO	O.id="500"
APVP	A.id="105467"
VPTPC	C.id="639945"
PVPA	V.id="1421"
TPVPA	A.id="8004"
APCPT	C.id="640772"
APV	A.id="760214"
VPVPA	A.id="760214"
PCPA	C.id="648909"
OAO	A.id="8004"
TPAP	A.id="760214"
CPAPC	A.id="760214"
CPAP	A.id="960979"
VPTP	V.id="1241"
OAPA	O.id="1500"
APTPV	A.id="960979"
PTPC	T.id="2644"
OAPCP	C.id="643921"
OAPVP	O.id="500"
OAPT	O.id="500"
TPAPA	T.id="248"
OAPV	A.id="760214"
VPAO	A.id="519372"
PAPAO	O.id="533"
OAPC	A.id="760214"
VPCPA	A.id="760214"
OAPC	C.id="690974"
OAPV	O.id="533"
PTPC	T.id="2644"
OAPV	A.id="689496"
PAP	A.id="273922"
TPAO	O.id="337"
APC	A.id="760214"
APCP	A.id="273922"
PAPVP	A.id="760214"
APCPA	C.id="690974"
CPTPV	T.id="1865"
PVPAO	O.id="500"
CPTPA	C.id="671598"
APAO	O.id="500"
APTP	A.id="105467"
AOAPV	O.id="36"
VPC	C.id="643921"
TPAO	A.id="760214"
PTPV	T.id="1865"
APVPT	A.id="105467"
OAO	A.id="760214"
TPAOA	T.id="2430"
CPVPA	V.id="1947"
OAP	A.id="760214"
PTPAO	O.id="533"
TPVPC	V.id="1241"
VPAOA	O.id="500"
TPAPV	A.id="760214"
AOAP	O.id="1500"
VPAP	A.id="760214"
CPAPV	C.id="720270"
PCPT	C.id="690974"
PCPA	A.id="689496"
VPCPV	C.id="671598"
VPTPC	T.id="2644"
TPVPA	A.id="760214"
TPAO	T.id="4773"
AOAPV	O.id="261"
CPV	C.id="644579"
CPTPA	T.id="400"
OAPC	O.id="500"
TPAOA	T.id="400"
VPAOA	V.id="1947"
VPVPT	T.id="4773"
PCPTP	C.id="720270"
PVPAO	A.id="760214"
CPTPV	C.id="690974"
CPVPV	C.id="720270"
TPAP	A.id="760214"
TPCPA	C.id="643921"
VPAPC	A.id="760214"
PVPT	T.id="400"
VPTPC	C.id="720270"
APAO	O.id="500"
OAO	A.id="760214"
AOAPV	O.id="500"
CPAPV	A.id="760214"
TPAO	A.id="689496"
APCP	A.id="891336"
OAPT	O.id="337"
CPTPV	C.id="643921"
APAOA	O.id="1500"
TPAO	A.id="8004"
PAP	A.id="760214"
TPAPA	T.id="4773"
TPCPA	A.id="273922"
